,Neuron name,Current Root ID Spring 2023,id
369,AVLP/PVLP_pr01_R7,720575940610399461,720575940610399461
370,AVLP/PVLP_pr01_R8,720575940634317724,720575940634317724
371,put_AVLP/PVLP_pr01_R1,720575940616588118,720575940621752001
372,put_AVLP/PVLP_pr01_R2,720575940622293227,720575940622293227
373,AVLP_pr36_L1,720575940632764883,720575940632764883
374,AVLP_pr36_L2,720575940617362772,720575940617362772
375,AVLP_pr36_L3,720575940620356557,720575940620356557
376,AVLP_pr36_L4,720575940627719294,720575940627719294
377,AVLP_pr36_L5,720575940627363687,720575940627363687
378,AVLP_pr36_L6,720575940626651395,720575940615635037
379,AVLP_pr36_L7,720575940615592409,720575940615592409
380,AVLP_pr36_L8,720575940619688688,720575940619688688
381,AVLP_pr36_L9,720575940637175349,720575940637175349
382,AVLP_pr36_L10,720575940628837650,720575940628837650
383,put_AVLP_pr36_L1,720575940615635037,720575940615635037
384,AVLP_pr36_R1,720575940637834301,720575940637834301
385,AVLP_pr36_R2,720575940629244357,720575940629244357
386,AVLP_pr36_R3,720575940602120928,720575940602120928
387,AVLP_pr36_R4,720575940617034398,720575940617034398
388,AVLP_pr36_R5,720575940613034602,720575940613034602
389,AVLP_pr36_R6,720575940609996773,720575940609996773
390,put_AVLP_pr36_R1,720575940624662508,720575940624662508
391,put_AVLP_pr36_R2,720575940627850618,720575940627850618
392,put_AVLP_pr36_R3,720575940636471408,720575940636471408
393,put_AVLP_pr36_R4,720575940611270257,720575940611270257
394,put_AVLP_pr36_R5,720575940616502109,720575940616502109
395,put_AVLP_pr36_R6,720575940617012002,720575940623437180
396,put_AVLP_pr36_R7,720575940617653277,720575940617653277
397,put_AVLP_pr36_R8,720575940644252951,720575940644252951
398,put_AVLP_pr36_R9,720575940644259876,720575940644259876
399,AVLP_pr05_L1,720575940618477806,720575940618477806
400,AVLP_pr05_L2,720575940617529669,720575940617529669
401,AVLP_pr05_L3,720575940615798045,720575940615798045
402,AVLP_pr05_L4,720575940617193009,720575940617193009
403,AVLP_pr05_L5,720575940625839345,720575940625839345
404,AVLP_pr05_L6,720575940615348770,720575940615348770
405,AVLP_pr05_L7,720575940623748298,720575940623748298
406,AVLP_pr05_L8,720575940620191453,720575940620191453
407,AVLP_pr05_L9,720575940603331686,720575940603331686
408,AVLP_pr05_L10,720575940617943205,720575940617943205
409,AVLP_pr05_L11,720575940624172290,720575940624172290
410,AVLP_pr05_R1,720575940615530580,720575940618048724
411,AVLP_pr05_R2,720575940629414201,720575940629414201
412,AVLP_pr05_R3,720575940632722527,720575940632722527
413,AVLP_pr05_R4,720575940639494528,720575940639494528
414,AVLP_pr05_R5,720575940626401552,720575940626401552
415,AVLP_pr05_R6,720575940614662027,720575940616707394
416,AVLP_pr05_R7,720575940653919137,720575940653919137
417,AVLP_pr05_R8,720575940612965791,720575940612965791
418,AVLP_pr05_R9,720575940627127044,720575940627127044
419,AVLP_pr05_R10,720575940615729179,720575940615729179
420,AVLP_pr05_R11,720575940631838945,720575940631838945
421,AVLP_pr05_R12,720575940607049941,720575940607049941
422,AVLP_pr05_R13,720575940606202891,720575940606202891
423,AVLP_pr05_R14,720575940617842196,720575940617842196
424,put_AVLP_pr05_R1,720575940637573693,720575940623300265
425,put_AVLP_pr05_R2,720575940630303307,720575940630303307
426,IPS_pr01_L1,720575940615915035,720575940615915035
427,IPS_pr01_L2,720575940610088618,720575940610088618
428,IPS_pr01_L3,720575940626777000,720575940626777000
429,IPS_pr01_L4,720575940616812217,720575940616812217
430,IPS_pr01_L5,720575940628977401,720575940624015459
431,put_IPS_pr01_L1,720575940629851496,720575940629851496
432,put_IPS_pr01_L2,720575940629316152,720575940629316152
433,IPS_pr01_R1,720575940627632428,720575940627632428
